scene,subset,tolerance,view_idx,frame_id,oracle_k_star,was_early_frozen,is_active_later,freeze_abs_rel,decode_oracle_abs_rel,fixed16_abs_rel,delta_freeze_vs_decode,delta_freeze_vs_k16,freeze_rmse,freeze_mae,freeze_delta1,freeze_geom_l2,freeze_rot_err_deg
scan1,subset_middle,2pct,5,4,12,True,True,0.003079301444813609,0.003074467182159424,0.0032369771506637335,4.834262654185295e-06,-0.00015767570585012436,4.131977558135986,1.9705171585083008,0.9998473525047302,647.4718017578125,0.0
scan1,subset_uniform,5pct,0,0,13,True,True,0.00418894924223423,0.00381814525462687,0.003913204185664654,0.0003708039876073599,0.00027574505656957626,16.67481803894043,2.966947555541992,0.9972424507141113,644.5865478515625,0.0
scan1,subset_uniform,5pct,1,8,12,True,True,0.003141910070553422,0.002861228073015809,0.002798883244395256,0.0002806819975376129,0.00034302682615816593,3.254486560821533,2.0273284912109375,0.9999626874923706,651.03662109375,0.0
scan1,subset_uniform,5pct,2,16,12,True,True,0.002926230663433671,0.0027481396682560444,0.0026719924062490463,0.0001780909951776266,0.00025423825718462467,2.8993377685546875,1.9126826524734497,1.0,652.58056640625,0.0
scan1,subset_uniform,5pct,3,24,8,True,False,0.003684020135551691,0.003684020135551691,0.0035596389789134264,0.0,0.00012438115663826466,6.678746700286865,2.4179301261901855,0.9996611475944519,645.38134765625,0.0
scan1,subset_uniform,5pct,4,32,8,True,False,0.00350568606518209,0.00350568606518209,0.0036821523681282997,0.0,-0.0001764663029462099,4.725595951080322,2.247241735458374,1.0,642.3599853515625,0.12508152425289154
scan1,subset_uniform,5pct,5,40,14,True,True,0.0031958657782524824,0.002747807651758194,0.0026711286045610905,0.00044805812649428844,0.0005247371736913919,2.970769166946411,1.9939870834350586,1.0,653.4970092773438,0.0
scan1,subset_uniform,2pct,0,0,13,True,True,0.004085991997271776,0.00381814525462687,0.003913204185664654,0.00026784674264490604,0.00017278781160712242,16.65852928161621,2.898167610168457,0.9972424507141113,644.5869140625,0.0
scan1,subset_uniform,2pct,1,8,13,True,True,0.0030553999822586775,0.0027239162009209394,0.002798883244395256,0.00033148378133773804,0.00025651673786342144,3.214204788208008,1.9751406908035278,0.9999626874923706,651.0323486328125,0.0
scan1,subset_uniform,2pct,2,16,13,True,True,0.00290064699947834,0.002662300830706954,0.0026719924062490463,0.00023834616877138615,0.00022865459322929382,2.8595120906829834,1.892433762550354,1.0,652.576171875,0.0
